fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
e2c92c7d6ed6328ae02e2f112e7024d4,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.01), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.01), 5)"", ""type"": ""REGULAR""}",4nOLogcyr4FGagGVe3wyY0m,COMPLETE,1776677594.6894138,0mKX2Gb8,-3703026,-0.92,0.5701,-0.24,,
571bd1480bd69cf466dd3c947dd1e077,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.001), 6)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.001), 6)"", ""type"": ""REGULAR""}",290BdB3Qa4xC9ZVJbTkj0Sy,COMPLETE,1776677595.0246108,pw1ReWqv,-3755296,-0.95,0.5442,-0.25,,
4dba33a01c7454d56e000a410fded7e3,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.01), 6)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.01), 6)"", ""type"": ""REGULAR""}",1oonxGb9C4uE8NZ1aKYIJNP5,COMPLETE,1776677595.3402154,akWb9Rrw,-3742153,-0.95,0.5436,-0.25,,
88d5c9fceac202bacf41101a4ac6a9c7,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.001), 4)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.001), 4)"", ""type"": ""REGULAR""}",3TPbsSaUC59qcl7AulvW6kH,COMPLETE,1776677663.6309547,Jj5NJrRj,-3921599,-0.95,0.6075,-0.25,,
18fe3852d7bbc9500994b8ec4c50f8f5,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.01), 4)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.01), 4)"", ""type"": ""REGULAR""}",o8HJteI55cz9KXJ3Oy0wfd,COMPLETE,1776677663.9768257,vRJrXPav,-3909504,-0.94,0.607,-0.24,,
426ae50357e5cf79068e74f1bb959cfb,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.001), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 15)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 15) + 0.001), 5)"", ""type"": ""REGULAR""}",2HRmS47gx4ZE9CJVkAygZZN,COMPLETE,1776677664.3248804,0mKX25n1,-3715658,-0.92,0.5707,-0.24,,
09fad398fcc16903a3a90452911b3454,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001), 4)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001), 4)"", ""type"": ""REGULAR""}",3KlqeCfDk4SgaL5wykR1Ybf,COMPLETE,1776677759.0449224,1YnXAM8Q,-3059726,-0.73,0.5878,-0.17,,
95ac4c6a797648c7819efbb3fd11fd12,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 4)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 4)"", ""type"": ""REGULAR""}",3evnvr9Ol4DnaZb18fw6WHJB,COMPLETE,1776677759.366267,6XYjLkWY,-3049332,-0.72,0.5873,-0.17,,
959dac4bd6ad1605e8ae3b16b6413d7d,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001), 5)"", ""type"": ""REGULAR""}",IFEfJguW58u9eJ17wiwDawf,COMPLETE,1776677759.6920695,MP5aNrEL,-2829681,-0.69,0.5505,-0.16,,
81e6839323017eedbf9fb9a47c9c0ff4,REGULAR,"-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.01), 5)"", ""type"": ""REGULAR""}",qS5P2g245eYbGuxVQNaBmF,COMPLETE,1776677822.5689456,O05NdOb7,-2818969,-0.69,0.5499,-0.16,,
