fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
6b2d216ae1118d3aca77d73aad340cf3,REGULAR,"winsorize(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), std=2)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""winsorize(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), std=2)"", ""type"": ""REGULAR""}",2LJusLe5j4k8bxX1c5TcvaNc,COMPLETE,1776692764.5228841,leRK0ann,10893273,2.32,0.1487,2.02,,
78b3ca7a01ca95b525b96d1c48be538f,REGULAR,"-ts_mean(rank(oth561_basic_stat_sell_user_num), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_sell_user_num), 20)"", ""type"": ""REGULAR""}",3iDRWL2Ge4Q9apCbT17ENDV,COMPLETE,1776692764.8814974,vRJ2mAQz,4685838,1.0,0.159,0.55,,
223ce1f9fb5110b76187b726625fa321,REGULAR,"-ts_mean(rank(oth561_basic_stat_sell_user_num), 40)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_sell_user_num), 40)"", ""type"": ""REGULAR""}",4A85xIdU84y69ug11PYxQ5xZ,COMPLETE,1776692765.2006974,3qnVA0NX,3814480,0.82,0.1404,0.43,,
34e12560d9e97284f8df6e9a1856b294,REGULAR,"-ts_rank(oth561_basic_stat_sell_user_num, 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_rank(oth561_basic_stat_sell_user_num, 20)"", ""type"": ""REGULAR""}",2u5Ml81DF5hTb1raF01rBqR,COMPLETE,1776692765.5265958,N15VOPZE,-9883491,-2.5,0.6904,-0.96,,
e72cfbe3e9444212e6b11c083b47ef87,REGULAR,"scale(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20))",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""scale(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20))"", ""type"": ""REGULAR""}",3xPuLB3X5582cyU1aSyhs37U,COMPLETE,1776692832.7110002,blWO9nzq,11009395,2.31,0.1503,2.01,,
2645eea33cc41569c0d363dab9e2b8ad,REGULAR,"sign(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)) * power(abs(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)), 1.5)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""sign(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)) * power(abs(-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)), 1.5)"", ""type"": ""REGULAR""}",jeQ6EfV84vzclC1dol01TUO,COMPLETE,1776692833.0259655,LLlZRrzm,11763290,2.4,0.1502,2.16,,
f6bc7d940d265a8e3ef08c22c5c2013c,REGULAR,"trade_when(rank(oth561_basic_stat_net_buy_user_num) > 0.2, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""trade_when(rank(oth561_basic_stat_net_buy_user_num) > 0.2, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)"", ""type"": ""REGULAR""}",14dp51aER4Xi9u4iwgnEj8i,COMPLETE,1776692833.3331301,E5rRKLz9,12179158,2.61,0.1501,2.39,,
52cc1289e5a0244a30ae77baf7721d10,REGULAR,"trade_when(rank(oth561_basic_stat_net_buy_user_num) < 0.8, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""trade_when(rank(oth561_basic_stat_net_buy_user_num) < 0.8, -ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), -1)"", ""type"": ""REGULAR""}",36UgzA7OF4zr9HVYNW9MBEJ,COMPLETE,1776692833.6567924,9qAWRmm1,6583177,1.64,0.1425,1.13,,
8ec19a1a5544931eafc434257d6d72b3,REGULAR,"-ts_rank(oth561_basic_stat_sell_user_num, 40)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_rank(oth561_basic_stat_sell_user_num, 40)"", ""type"": ""REGULAR""}",4bJ45CfC14yH8xP19PEyDMqi,COMPLETE,1776692866.6691005,qMm0Xp9j,-8306327,-2.1,0.6439,-0.77,,
056992f0d70bd6d2649103f860a3f31e,REGULAR,"-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)",,,"{""decay"": 10, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)"", ""type"": ""REGULAR""}",3ROstW6pU4xA9cFXdKL8igu,COMPLETE,1776692866.9865003,RRk6rojz,10282738,2.18,0.1445,1.87,,
