fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
c5ee86a9d6f000adcc4abb17aa983a64,REGULAR,"-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 60)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 60)"", ""type"": ""REGULAR""}",4Fd6Njdvb4Rba1vlSS13tCp,COMPLETE,1776691150.35467,om9WnQqk,8177383,1.74,0.1313,1.4,,
c057c6bcfb16bea59618590667e89cd5,REGULAR,"-ts_decay_linear(rank(oth561_basic_stat_net_buy_user_num), 20)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear(rank(oth561_basic_stat_net_buy_user_num), 20)"", ""type"": ""REGULAR""}",pMxcU6Ib5dRchaGrgJ055a,COMPLETE,1776691150.6681428,E5rRqovJ,7145919,1.63,0.3907,0.71,,
1fd63d98cb509d2eabda4ed0faefcfd5,REGULAR,"-ts_decay_linear(rank(oth561_basic_stat_net_buy_user_num), 40)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_decay_linear(rank(oth561_basic_stat_net_buy_user_num), 40)"", ""type"": ""REGULAR""}",3adPyNeCu4HUclw1fSFBLHvj,COMPLETE,1776691150.9596872,9qAW9gVK,6063993,1.39,0.3899,0.56,,
a418f254aa47854b3f8e04e692cb0c42,REGULAR,"-ts_mean(group_rank(oth561_basic_stat_net_buy_user_num, subindustry), 20)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(group_rank(oth561_basic_stat_net_buy_user_num, subindustry), 20)"", ""type"": ""REGULAR""}",2RCZimc3D4Vd9H012dZCfyCU,COMPLETE,1776691220.5068448,YPWMNWqR,8156689,2.1,0.1334,1.67,,
56aaeb41556c2b194e19e68a57d5bd33,REGULAR,"-ts_mean(group_rank(oth561_basic_stat_net_buy_user_num, sector), 20)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(group_rank(oth561_basic_stat_net_buy_user_num, sector), 20)"", ""type"": ""REGULAR""}",1JLPyP2NX4HU9C1OxglbGyJ,COMPLETE,1776691220.8113828,npOPnObM,11330135,2.44,0.1535,2.13,,
acd4aa6594a7e49d9a59f55ea91a0655,REGULAR,"-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 40)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 40)"", ""type"": ""REGULAR""}",3HKIkC5kP5hjbnan8zBPbWf,COMPLETE,1776691221.1310537,78K6xKVQ,9738318,2.04,0.1397,1.73,,
577d41a19155cad2fdfa9ea3a264b5f2,REGULAR,"-signed_power(ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), 2)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-signed_power(ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20), 2)"", ""type"": ""REGULAR""}",1ZlM99295cAadFe1MAkg9U,COMPLETE,1776691242.509584,O058nb8v,12430630,2.48,0.1546,2.26,,
804dda6f02754f83a68cb5b4b0d1243a,REGULAR,"-ts_rank(oth561_basic_stat_net_buy_user_num, 20)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_rank(oth561_basic_stat_net_buy_user_num, 20)"", ""type"": ""REGULAR""}",3ZOIo9eTc4pHaqo3rzSdSG4,COMPLETE,1776691242.8226979,pw15nV5x,-8147766,-1.81,0.81,-0.58,,
0332ba2ad9eec37ffff21dbc03967714,REGULAR,"-ts_rank(oth561_basic_stat_net_buy_user_num, 40)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_rank(oth561_basic_stat_net_buy_user_num, 40)"", ""type"": ""REGULAR""}",1WArEiaiv4Kf8UF1bjy7VyUs,COMPLETE,1776691243.21807,A1OvngQR,-5175091,-1.15,0.7659,-0.3,,
b2e3528d6f88c61c7d08891032d443af,REGULAR,"-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)",,,"{""decay"": 5, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""OFF"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""-ts_mean(rank(oth561_basic_stat_net_buy_user_num), 20)"", ""type"": ""REGULAR""}",1sfM7E6Xi4sC8WgViC3iEqH,COMPLETE,1776691363.495626,QP5Kn78X,11031578,2.31,0.1504,2.01,,
