fingerprint,alpha_type,regular_expression,selection_expression,combo_expression,settings_json,simulate_data_json,sim_id,status,timestamp,alpha_id,pnl,sharpe,turnover,fitness,error,error_details
1a67e12f2f584777e14c7f2a344d98ae,REGULAR,"ts_rank(oth561_basic_stat_sell_user_num, 20)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_rank(oth561_basic_stat_sell_user_num, 20)"", ""type"": ""REGULAR""}",2aIHY62UK55gbNOXb3ICfOW,COMPLETE,1776674383.867001,0mKXgEgq,-22259000,-4.75,0.8171,-2.52,,
3d49f7557eb6e30127639a5afd777ac9,REGULAR,"ts_rank(oth561_basic_stat_sell_user_num, 60)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_rank(oth561_basic_stat_sell_user_num, 60)"", ""type"": ""REGULAR""}",1kSdCI3at4Gmc6cTHhmCsFA,COMPLETE,1776674384.2071939,npOdq2qz,-23425162,-4.89,0.7478,-2.79,,
b4dba27e283b7d40f6f268f4d350caf2,REGULAR,"ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 5), 60)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 5), 60)"", ""type"": ""REGULAR""}",2wbIhJ3TL4iZ9bMCOL1wERG,COMPLETE,1776674384.5555775,vRJrGlGr,-15130346,-3.95,0.3431,-2.67,,
d92ff5e0e0076985f6e0f08898e67990,REGULAR,"ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 10), 80)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_rank(ts_mean(oth561_basic_stat_sell_user_num, 10), 80)"", ""type"": ""REGULAR""}",4i338ScrN4X0boxiCX8m4dR,COMPLETE,1776674430.9323494,QP5bz31w,-14802127,-3.95,0.2455,-3.12,,
bdaa062617d44cc7061f9e2d32b7679c,REGULAR,"(oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 10)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 10) + 0.001)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""(oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 10)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 10) + 0.001)"", ""type"": ""REGULAR""}",ntZvY5sA5d49XkmfIJs80z,COMPLETE,1776674431.3493798,9qAjRWZe,-27424307,-5.66,0.8823,-3.21,,
78fb9c144c54e612beef69a78a004422,REGULAR,"(oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""(oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001)"", ""type"": ""REGULAR""}",3rvSGI4hC4HmadW7a5DSTnx,COMPLETE,1776674431.6744947,e7qbG97g,-30211530,-5.74,0.8254,-3.53,,
ef7d046f1bfa8132754b72acf70c3951,REGULAR,"ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 20)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 20) + 0.001), 5)"", ""type"": ""REGULAR""}",jBe3Na3n5hc9jw6ejzp36o,COMPLETE,1776674486.5180154,j2dAGeak,-25255731,-5.57,0.5507,-3.84,,
86f12136a16dd4824e9bfdc08b33191e,REGULAR,"ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 40)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 40) + 0.001), 10)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_decay_linear((oth561_basic_stat_net_buy_user_num - ts_mean(oth561_basic_stat_net_buy_user_num, 40)) / (ts_std_dev(oth561_basic_stat_net_buy_user_num, 40) + 0.001), 10)"", ""type"": ""REGULAR""}",1pkg9W4kA4S0c2u2RgD10cv,COMPLETE,1776674486.840632,RRkbzA50,-25941015,-5.48,0.4358,-4.3,,
d6cc63567208ed03177839dd5c7198e6,REGULAR,"signed_power(ts_delta(oth561_basic_stat_net_buy_user_num, 5), 2)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""signed_power(ts_delta(oth561_basic_stat_net_buy_user_num, 5), 2)"", ""type"": ""REGULAR""}",3hQ229f5R53M9YBXyWOe9d7,COMPLETE,1776674487.1411796,VkYazdM8,-38134107,-4.28,0.7695,-3.07,,
7d585d7e8bf56fabc4d446db1ef0ca1f,REGULAR,"signed_power(ts_delta(oth561_basic_stat_net_buy_user_num, 10), 2)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""signed_power(ts_delta(oth561_basic_stat_net_buy_user_num, 10), 2)"", ""type"": ""REGULAR""}",1BFPjC2KR51U8A2Qjah9BEz,COMPLETE,1776674535.8098347,88KjJVdV,-31250852,-3.37,0.7273,-2.25,,
b45cde5027a26b47e328956d7dc5b3cb,REGULAR,"ts_decay_linear(signed_power(ts_delta(oth561_basic_stat_net_buy_user_num, 10), 2), 5)",,,"{""decay"": 3, ""delay"": 1, ""instrumentType"": ""EQUITY"", ""language"": ""FASTEXPR"", ""maxTrade"": ""OFF"", ""nanHandling"": ""ON"", ""neutralization"": ""SLOW_AND_FAST"", ""pasteurization"": ""ON"", ""region"": ""CHN"", ""truncation"": 0.08, ""unitHandling"": ""VERIFY"", ""universe"": ""TOP2000U"", ""visualization"": false}","{""regular"": ""ts_decay_linear(signed_power(ts_delta(oth561_basic_stat_net_buy_user_num, 10), 2), 5)"", ""type"": ""REGULAR""}",1n7PKFBl5eB9yLICAsiJVy,COMPLETE,1776674536.1384149,YPWbz8GR,-23514049,-2.62,0.5516,-1.74,,
